feature,importance
units_sold_roll_mean_7,0.32878312
units_sold_roll_mean_14,0.2879515
units_sold_roll_mean_28,0.15410183
month,0.03047015
day_of_week,0.025786625
quarter,0.02544548
is_weekend,0.023116406
is_holiday,0.02178149
units_sold_roll_std_14,0.0143408235
temperature_c,0.013364619
selling_price,0.01175936
unemployment_rate,0.010288124
inflation_rate,0.009237913
shelf_life_days,0.008201153
store_type_encoded,0.007573101
store_size_sqft,0.0067656003
cpi,0.0053218766
units_sold_lag_28,0.005215707
season_encoded,0.004237084
margin_pct,0.0038000906
units_sold_roll_std_7,0.0024579114
units_sold_lag_14,0.0
units_sold_lag_7,0.0
units_sold_roll_std_28,0.0
competitor_price,0.0
effective_price,0.0
price_vs_competitor,0.0
price_discount_interaction,0.0
discount_pct,0.0
rainfall_mm,0.0
humidity_pct,0.0
fuel_price,0.0
perishable,0.0
category_encoded,0.0
weather_type_encoded,0.0
